millis,frequency,resistance,reactance,magnitude
76396,51.00,-1069,-1614,1935.9125
76616,51.00,-1069,-1614,1935.9125
76816,50.00,11745,-16639,20366.672
77016,51.00,12099,-16376,20360.727
77216,51.00,12099,-16376,20360.727
77435,51.00,12099,-16376,20360.727
77654,51.00,12099,-16376,20360.727
77854,51.00,12099,-16376,20360.727
78064,51.00,-3480,-18046,18378.48
78284,51.00,-3480,-18046,18378.48
78474,51.00,-3480,-18046,18378.48
78674,51.00,-3480,-18046,18378.48
78874,51.00,-3480,-18046,18378.48
79084,51.00,-3480,-18046,18378.48
79284,51.00,12454,-16109,20361.777
79484,51.00,12454,-16109,20361.777
79684,51.00,12454,-16109,20361.777
79887,51.00,12454,-16109,20361.777
80087,51.00,12454,-16109,20361.777
80305,50.00,-1057,-1547,1873.6216
80511,51.00,-1039,-1580,1891.0106
80711,51.00,-1039,-1580,1891.0106
80911,51.00,-1039,-1580,1891.0106
81122,51.00,-1039,-1580,1891.0106
81326,51.00,-1039,-1580,1891.0106
81526,51.00,-1050,-1598,1912.0941
81744,51.00,-1050,-1598,1912.0941
81947,51.00,-1050,-1598,1912.0941
82146,51.00,-1050,-1598,1912.0941
82346,51.00,-1050,-1598,1912.0941
82566,50.00,-1135,-1659,2010.101
82766,51.00,-1128,-1713,2051.037
82966,51.00,-1128,-1713,2051.037
83188,51.00,-1128,-1713,2051.037
83392,51.00,-1128,-1713,2051.037
83612,51.00,-1128,-1713,2051.037
83812,51.00,-1143,-1735,2077.6606
84035,51.00,-1143,-1735,2077.6606
84242,51.00,-1143,-1735,2077.6606
84442,51.00,-1143,-1735,2077.6606
84652,51.00,-1143,-1735,2077.6606
84852,51.00,-1143,-1735,2077.6606
85072,51.00,-1129,-1717,2054.9282
85302,51.00,-1129,-1717,2054.9282
85512,51.00,-1129,-1717,2054.9282
85742,51.00,-1129,-1717,2054.9282
85942,51.00,-1129,-1717,2054.9282
86158,51.00,5585,-19429,20215.793
86369,51.00,5585,-19429,20215.793
86569,51.00,5585,-19429,20215.793
86779,51.00,5585,-19429,20215.793
86979,51.00,5585,-19429,20215.793
87199,50.00,6256,-19269,20259.12
87409,51.00,6749,-19095,20252.605
87619,51.00,6749,-19095,20252.605
87836,51.00,6749,-19095,20252.605
88046,51.00,6749,-19095,20252.605
88266,51.00,6749,-19095,20252.605
88476,51.00,6753,-19093,20252.053
88683,51.00,6753,-19093,20252.053
88893,51.00,6753,-19093,20252.053
89113,51.00,6753,-19093,20252.053
89313,51.00,6753,-19093,20252.053
89523,50.00,-377,-15851,15855.482
89723,51.00,5840,-19292,20156.559
89932,51.00,5840,-19292,20156.559
90152,51.00,5840,-19292,20156.559
90343,51.00,5840,-19292,20156.559
90561,51.00,5840,-19292,20156.559
90791,51.00,10853,-17221,20355.6
90999,51.00,10853,-17221,20355.6
91219,51.00,10853,-17221,20355.6
91429,51.00,10853,-17221,20355.6
91642,51.00,10853,-17221,20355.6
91854,50.00,12301,-16233,20367.25
92071,51.00,12717,-15904,20363.186
92281,51.00,12717,-15904,20363.186
92491,51.00,12717,-15904,20363.186
92701,51.00,12717,-15904,20363.186
92913,51.00,12717,-15904,20363.186
93126,51.00,15131,-13632,20366.113
93343,51.00,15131,-13632,20366.113
93553,51.00,15131,-13632,20366.113
93753,51.00,15131,-13632,20366.113
93964,51.00,15131,-13632,20366.113
94176,50.00,14920,-13871,20371.82
94397,51.00,15127,-13634,20364.48
94587,51.00,15127,-13634,20364.48
94802,51.00,15127,-13634,20364.48
95012,51.00,15127,-13634,20364.48
95232,51.00,15127,-13634,20364.48
95452,51.00,15129,-13635,20366.637
95662,51.00,15129,-13635,20366.637
95872,51.00,15129,-13635,20366.637
96082,51.00,15129,-13635,20366.637
96282,51.00,15129,-13635,20366.637
96492,50.00,14920,-13870,20371.139
96702,51.00,15129,-13635,20366.637
96912,51.00,15129,-13635,20366.637
97122,51.00,15129,-13635,20366.637
97332,51.00,15129,-13635,20366.637
97552,51.00,15129,-13635,20366.637
97772,51.00,10640,-17342,20345.873
97992,51.00,10640,-17342,20345.873
98182,51.00,10640,-17342,20345.873
98392,51.00,10640,-17342,20345.873
98602,51.00,10640,-17342,20345.873
98812,50.00,9246,-18123,20345.31
99042,51.00,9597,-17933,20339.49
99242,51.00,9597,-17933,20339.49
99442,51.00,9597,-17933,20339.49
99672,51.00,9597,-17933,20339.49
99862,51.00,9597,-17933,20339.49
100092,51.00,3155,-19845,20094.229
100312,51.00,3155,-19845,20094.229
100502,51.00,3155,-19845,20094.229
100722,51.00,3155,-19845,20094.229
100922,51.00,3155,-19845,20094.229
101122,50.00,6343,-19309,20324.15
101322,51.00,7002,-19077,20321.416
101532,51.00,7002,-19077,20321.416
101742,51.00,7002,-19077,20321.416
101932,51.00,7002,-19077,20321.416
102149,51.00,7002,-19077,20321.416
102359,51.00,-1029,-1598,1900.6433
102569,51.00,-1029,-1598,1900.6433
102769,51.00,-1029,-1598,1900.6433
102979,51.00,-1029,-1598,1900.6433
103202,51.00,-1029,-1598,1900.6433
103419,50.00,10696,-17325,20360.748
103629,51.00,11104,-17061,20356.24
103839,51.00,11104,-17061,20356.24
104063,51.00,11104,-17061,20356.24
104271,51.00,11104,-17061,20356.24
104482,51.00,11104,-17061,20356.24
104692,51.00,10775,-17268,20353.979
104902,51.00,10775,-17268,20353.979
105112,51.00,10775,-17268,20353.979
105332,51.00,10775,-17268,20353.979
105532,51.00,10775,-17268,20353.979
105742,50.00,13133,-15571,20369.873
105961,51.00,13413,-15322,20363.504
106171,51.00,13413,-15322,20363.504
106391,51.00,13413,-15322,20363.504
